SEQN,age,education,male,female
33467,60,3,1,0
33468,22,3,1,0
33469,46,4,0,1
33473,39,3,0,1
33474,62,4,0,1
33476,49,5,1,0
33477,29,4,1,0
33478,70,5,0,1
33483,60,2,0,1
33485,44,1,0,1
33487,39,3,1,0
33489,32,5,0,1
33490,77,4,0,1
33492,45,3,1,0
33496,50,5,0,1
33500,53,2,1,0
33506,46,3,0,1
33509,32,5,1,0
33515,60,1,1,0
33517,71,1,1,0
33518,20,3,1,0
33519,39,5,1,0
33520,74,5,1,0
33527,63,3,1,0
33528,23,4,1,0
33529,30,2,0,1
33530,56,3,0,1
33531,82,4,1,0
33532,38,4,0,1
33534,78,1,1,0
33536,22,4,1,0
33541,28,5,0,1
33543,76,3,1,0
33544,38,5,0,1
33546,29,2,0,1
33547,24,3,1,0
33551,76,5,1,0
33552,67,1,0,1
33554,39,3,1,0
33559,24,4,0,1
33561,83,3,0,1
33562,48,5,0,1
33563,54,3,0,1
33564,85,4,0,1
33565,57,3,1,0
33566,82,2,1,0
33567,73,4,1,0
33569,79,3,0,1
33570,44,3,0,1
33574,24,2,1,0
33576,68,3,0,1
33577,55,4,0,1
33582,21,3,0,1
33585,50,4,1,0
33587,45,4,0,1
33589,20,4,0,1
33591,65,5,0,1
33592,62,3,1,0
33594,75,5,1,0
33596,32,1,0,1
33597,59,1,0,1
33598,24,5,1,0
33600,37,5,0,1
33602,40,4,1,0
33604,59,2,0,1
33605,68,4,0,1
33606,31,3,0,1
33607,27,4,0,1
33608,39,5,1,0
33612,35,5,1,0
33614,65,3,0,1
33616,48,3,1,0
33617,48,3,1,0
33620,49,5,0,1
33621,63,5,1,0
33624,44,5,1,0
33625,81,3,0,1
33627,46,5,1,0
33629,34,3,0,1
33630,36,2,0,1
33631,67,1,1,0
33632,26,2,0,1
33634,50,4,1,0
33635,44,3,1,0
33637,28,4,0,1
33640,85,1,0,1
33642,77,4,0,1
33643,41,4,0,1
33645,25,4,0,1
33646,63,4,1,0
33647,35,5,1,0
33649,85,3,1,0
33652,32,3,1,0
33655,37,5,0,1
33657,23,3,0,1
33658,41,5,0,1
33659,35,3,0,1
33660,59,5,0,1
33662,45,5,0,1
33663,76,5,1,0
33666,71,4,1,0
33667,79,2,1,0
33668,48,4,0,1
33669,46,5,1,0
33673,85,4,1,0
33675,56,4,0,1
33678,20,4,1,0
33681,29,5,1,0
33682,38,5,0,1
33683,49,1,1,0
33684,74,3,1,0
33687,53,1,0,1
33688,76,3,1,0
33690,27,3,0,1
33691,58,3,0,1
33694,54,3,1,0
33696,61,3,1,0
33698,75,1,1,0
33699,37,5,1,0
33700,29,5,1,0
33709,53,4,1,0
33711,20,3,1,0
33712,23,4,0,1
33713,62,5,1,0
33714,81,1,1,0
33715,45,5,0,1
33716,25,2,1,0
33724,20,3,1,0
33725,76,1,0,1
33726,66,1,1,0
33727,57,4,0,1
33728,34,3,1,0
33729,69,3,0,1
33730,46,3,0,1
33731,26,2,1,0
33734,25,1,1,0
33735,36,5,0,1
33736,54,4,0,1
33737,47,5,0,1
33738,52,4,0,1
33739,25,5,1,0
33740,29,2,0,1
33742,20,4,1,0
33743,26,3,1,0
33744,48,3,0,1
33745,46,5,1,0
33748,39,2,0,1
33750,29,3,1,0
33751,51,4,1,0
33754,48,4,1,0
33755,23,2,0,1
33756,43,4,0,1
33761,54,5,1,0
33762,44,5,1,0
33765,41,4,1,0
33767,47,5,0,1
33768,65,3,0,1
33769,67,3,1,0
33770,47,3,1,0
33771,66,1,1,0
33774,32,4,0,1
33775,50,5,1,0
33777,33,3,1,0
33778,40,2,1,0
33780,32,3,0,1
33784,54,5,0,1
33789,25,4,0,1
33792,73,1,0,1
33793,76,5,1,0
33796,81,4,0,1
33797,45,4,0,1
33798,50,4,1,0
33802,49,3,1,0
33803,38,3,0,1
33805,28,2,1,0
33806,55,5,0,1
33808,74,1,1,0
33812,80,1,1,0
33814,22,1,1,0
33817,68,5,0,1
33819,84,5,1,0
33821,25,2,1,0
33822,51,4,1,0
33823,24,5,1,0
33825,61,1,0,1
33827,43,3,0,1
33832,77,4,1,0
33838,57,3,0,1
33840,35,5,0,1
33841,21,2,0,1
33845,31,3,1,0
33847,45,2,0,1
33849,48,4,0,1
33852,23,4,1,0
33853,69,5,1,0
33854,63,2,0,1
33856,21,4,0,1
33860,42,5,0,1
33861,81,3,1,0
33864,61,5,0,1
33866,46,5,0,1
33867,29,5,1,0
33871,62,2,0,1
33874,32,4,0,1
33876,49,3,1,0
33877,30,4,0,1
33879,29,3,0,1
